aquaculture_ship|10|16|14
bulk|12|17|14.25
commercial_use_ship|24|20|26
fishing|5.4|15|11
hsc|30|59|35
other|7|18|14
passengers_ship|18|27|22
pleasure_craft|7|20|16
river_ship|5|9|7.2
